Will i want?;Хочу ли я?
I will not want.;Я не хочу
I will want.;Я захочу.
Do i want?;Я хочу?
I don't want.;Я не хочу
I want.;Я хочу.
Did i want?;Я хотел?
I didn't want.;Я не хотела
I wanted.;Я хотел.
Will you want?;Вы хотите?
You will not want.;Вы не захотите.
You will want.;Ты захочешь.
Do you want?;Вы хотите?
You don't want.;Ты не хочешь
You want.;Ты хочешь.
Did you want?;Ты хотел?
You didn't want.;Вы не хотели.
You wanted.;Вы хотели.
Will we want?;Мы будем хотеть?
We will not want.;Мы не будем хотеть.
We will want.;Мы будем хотеть.
Do we want?;Мы хотим?
We don't want.;Мы не хотим.
We want.;Мы хотим.
Did we want?;Хотели ли мы?
We didn't want.;Мы не хотели.
We wanted.;Мы хотели.
Will they want?;Будут ли они хотят?
They will not want.;Они не захотят.
They will want.;Они захотят.
Do they want?;Они хотят?
They don't want.;Они не хотят.
They want.;Они хотят.
Did they want?;Они хотели?
They didn't want.;Они не хотели.
They wanted.;Они хотели.
Will he want?;Он захочет?
He will not want.;Он не захочет.
He will want.;Он захочет.
Does he want?;Он хочет?
He doesn't want.;Он не хочет
He wantes.;Он хочет.
Did he want?;Он хотел?
He didn't want.;Он не хотел.
He wanted.;Он хотел.
Will she want?;Она захочет?
She will not want.;Она не захочет.
She will want.;Она захочет.
Does she want?;Она хочет?
She doesn't want.;Она не хочет
She wantes.;Она хочет.
Did she want?;Она хотела?
She didn't want.;Она не хотела.
She wanted.;Она хотела.
Will i use?;Я буду использовать?
I will not use.;Я не буду использовать.
I will use.;Я использую.
Do i use?;Я использую?
I don't use.;Я не пользуюсь
I use.;Я использую.
Did i use?;Я использовал?
I didn't use.;Я не использовал.
I used.;Я использовал.
Will you use?;Будешь ли ты использовать?
You will not use.;Вы не будете использовать.
You will use.;Вы будете использовать.
Do you use?;Ты используешь?
You don't use.;Вы не используете.
You use.;Ты используешь.
Did you use?;Ты использовал?
You didn't use.;Вы не использовали.
You used.;Ты использовал.
Will we use?;Будем ли мы использовать?
We will not use.;Мы не будем использовать.
We will use.;Мы будем использовать.
Do we use?;Мы используем?
We don't use.;Мы не используем.
We use.;Мы используем.
Did we use?;Мы использовали?
We didn't use.;Мы не использовали.
We used.;Мы использовали.
Will they use?;Будут ли они использовать?
They will not use.;Они не будут использовать.
They will use.;Они будут использовать.
Do they use?;Они используют?
They don't use.;Они не используют.
They use.;Они используют.
Did they use?;Они использовали?
They didn't use.;Они не использовали.
They used.;Они использовали.
Will he use?;Будет ли он использовать?
He will not use.;Он не будет использовать.
He will use.;Он будет использовать.
Does he use?;Он использует?
He doesn't use.;Он не использует.
He uses.;Он использует.
Did he use?;Он использовал?
He didn't use.;Он не использовал.
He used.;Он использовал.
Will she use?;Будет ли она использовать?
She will not use.;Она не будет использовать.
She will use.;Она будет использовать.
Does she use?;Она использует?
She doesn't use.;Она не использует.
She uses.;Она использует.
Did she use?;Она использовала?
She didn't use.;Она не использовала.
She used.;Она использовала.
Will i work?;Я буду работать?
I will not work.;Я не буду работать.
I will work.;Я буду работать.
Do i work?;Я работаю?
I don't work.;Я не работаю
I work.;Я работаю.
Did i work?;Я работал?
I didn't work.;Я не работал.
I worked.;Я работал.
Will you work?;Будешь работать?
You will not work.;Вы не будете работать.
You will work.;Ты будешь работать.
Do you work?;Вы работаете?
You don't work.;Ты не работаешь.
You work.;Вы работаете.
Did you work?;Вы работали?
You didn't work.;Ты не работал.
You worked.;Ты работал.
Will we work?;Мы будем работать?
We will not work.;Мы не будем работать.
We will work.;Мы будем работать.
Do we work?;Мы работаем?
We don't work.;Мы не работаем
We work.;Мы работаем.
Did we work?;Мы работали?
We didn't work.;Мы не работали.
We worked.;Мы работали.
Will they work?;Будут ли они работать?
They will not work.;Они не будут работать.
They will work.;Они будут работать
Do they work?;Они работают?
They don't work.;Они не работают
They work.;Они работают.
Did they work?;Они работали?
They didn't work.;Они не работали.
They worked.;Они работали.
Will he work?;Будет ли он работать?
He will not work.;Он не будет работать.
He will work.;Он будет работать
Does he work?;Работает ли он?
He doesn't work.;Он не работает
He workes.;Он работает.
Did he work?;Он работал?
He didn't work.;Он не работал.
He worked.;Он работал.
Will she work?;Будет ли она работать?
She will not work.;Она не будет работать.
She will work.;Она будет работать
Does she work?;Она работает?
She doesn't work.;Она не работает
She workes.;Она работает.
Did she work?;Она работала?
She didn't work.;Она не работала.
She worked.;Она работала.
Will i call?;Я позвоню?
I will not call.;Я не буду звонить.
I will call.;Я позвоню.
Do i call?;Я звоню?
I don't call.;Я не звоню.
I call.;Я звоню.
Did i call?;Я звонил?
I didn't call.;Я не звонил.
I  звонить.;Я звонить.
Will you call?;Ты будешь звонить?
You will not call.;Вы не будете звонить.
You will call.;Ты позвонишь.
Do you call?;Ты звонишь?
You don't call.;Вы не звоните.
You call.;Ты звонишь.
Did you call?;Ты звонил?
You didn't call.;Вы не звонили.
You  звонить.;Вы звоните.
Will we call?;Мы позвоним?
We will not call.;Мы не будем звонить.
We will call.;Мы позвоним.
Do we call?;Мы звоним?
We don't call.;Мы не звоним.
We call.;Мы называем.
Did we call?;Мы звонили?
We didn't call.;Мы не звонили.
We  звонить.;Мы звонить.
Will they call?;Будут ли они звонить?
They will not call.;Они не будут звонить.
They will call.;Они позвонят.
Do they call?;Они звонят?
They don't call.;Они не звонят.
They call.;Они звонят.
Did they call?;Они звонили?
They didn't call.;Они не звонили.
They  звонить.;Они звонят.
Will he call?;Он позвонит?
He will not call.;Он не позвонит.
He will call.;Он позвонит.
Does he call?;Он звонит?
He doesn't call.;Он не звонит.
He calles.;Он звонит.
Did he call?;Он звонил?
He didn't call.;Он не звонил.
He  звонить.;Он звонит.
Will she call?;Она позвонит?
She will not call.;Она не позвонит.
She will call.;Она позвонит.
Does she call?;Она звонит?
She doesn't call.;Она не звонит.
She calles.;Она звонит.
Did she call?;Она звонила?
She didn't call.;Она не звонила.
She  звонить.;Она звонит.
Will i try?;Я попробую?
I will not try.;Я не буду пытаться.
I will try.;Я попробую.
Do i try?;Я пытаюсь?
I don't try.;Я не пытаюсь
I try.;Я попробую.
Did i try?;Я пробовал?
I didn't try.;Я не пытался.
I tried.;Я старался.
Will you try?;Ты попробуешь?
You will not try.;Вы не будете пытаться.
You will try.;Вы будете пытаться.
Do you try?;Ты пробуешь?
You don't try.;Вы не пытаетесь.
You try.;Вы пытаетесь.
Did you try?;Ты пробовал?
You didn't try.;Вы не пытались.
You tried.;Ты пытался.
Will we try?;Мы попробуем?
We will not try.;Мы не будем пытаться.
We will try.;Мы попытаемся.
Do we try?;Мы пытаемся?
We don't try.;Мы не пытаемся.
We try.;Мы стараемся.
Did we try?;Мы пробовали?
We didn't try.;Мы не пытались.
We tried.;Мы пытались.
Will they try?;Будут ли они пытаться?
They will not try.;Они не будут пытаться.
They will try.;Они попробуют.
Do they try?;Они пытаются?
They don't try.;Они не пытаются.
They try.;Они пытались.
Did they try?;Они пытались?
They didn't try.;Они не пытались.
They tried.;Они пытались.
Will he try?;Будет ли он попробовать?
He will not try.;Он не будет пытаться.
He will try.;Он попробует.
Does he try?;Он пытается?
